"","wb"
"260",4.357425228347
"261",4.15370412097823
"262",4.14354765750487
"263",5.14731681253699
"264",4.40135774263162
"265",5.26618714931787
"266",4.16275252400765
"267",5.79876638027785
"268",5.38294800483246
"269",4.1342032376686
"270",4.54722507861493
"271",4.23801022051136
"272",4.11355078468018
"273",4.04229423861459
"274",5.34097591167494
"275",4.81990431958171
"276",4.84310318429721
"277",4.60995410058549
"278",5.21130272578333
"279",5.38090261969015
"280",5.45338892376041
"281",3.57929085834835
"282",4.98679651172813
"283",5.73096660714107
"284",4.74135578080208
"285",4.73717419485834
"286",4.47680985522439
"287",4.57167007734119
"288",2.93900053229845
"289",3.62613858416058
"290",5.42085221453088
"291",4.87990140068775
"292",4.87891892073939
"293",4.16287078673984
"294",5.4392381326475
"295",4.2375951697518
"296",4.8209416479284
"297",5.48347135107173
"298",3.94183915884071
"299",4.5238895006974
"300",5.59949157279477
"301",4.03201916239076
"302",5.73307122547112
"303",4.19765143847465
"304",5.20600694346202
"305",3.56347293120497
"306",4.71624873718544
"307",5.04900920233828
"308",5.51264289375422
"309",4.29587517473116
"310",4.37263234883555
"311",3.91190984124258
"312",4.9326380236936
"313",5.17957487294689
"314",5.33273295001599
"315",5.97218374567008
"316",4.80603140933762
"317",5.14052989203401
"318",4.53439916071789
"319",5.71139193346969
"320",5.75283285498083
"321",5.15124353446865
"322",5.2574309267772
"323",5.66762324503208
"324",4.40725809889191
"325",4.89325451919368
"326",5.17449061396293
"327",5.10123959930604
"328",5.6247374041895
"329",3.54437738361966
"330",3.4823455368487
"331",5.48632796584029
"332",4.64471497846434
"333",5.75577072668418
"334",5.28442923425175
"335",5.0249391678496
"336",5.91701608111609
"337",4.22889520972001
"338",5.16788197495616
"339",3.98248266414687
"340",4.99232708177274
"341",5.12325811537733
"342",3.9352178723158
"343",4.71909734184356
"344",5.18569089292183
"345",3.99058381380982
"346",4.49239897451288
"347",4.73631108719832
"348",4.90166576582304
"349",5.25308008123721
"350",5.0391801987153
"351",4.92236997671435
"352",3.58715901568489
"353",4.01469210897691
"354",5.35921639865241
"355",5.17348026175288
"356",5.3848894848019
"357",2.89390419421485
"358",3.85845217867641
"359",4.74869491806626
"360",4.22319647541665
"361",5.45075534923658
"362",4.48937527369258
"363",5.41242232257229
"364",4.46533388735173
"365",4.87639801871965
"366",4.73284050789817
"367",4.52528543274427
"368",4.64003174283225
"369",5.25474457868665
"370",4.82806054739564
"371",4.09693458011041
"372",4.88629629574659
"373",4.61752991787353
"374",4.76272645426086
"375",3.76022793976475
"376",4.32105650693488
"377",5.29078939736895
"378",5.74675514555746
"379",3.7594653360497
"380",3.84700791135665
"381",5.31416592409591
"382",4.42170424823571
"383",5.53616288828582
"384",5.17132197095245
"385",5.07688584456031
"386",4.48770361686442
"387",3.52839267888548
"388",5.38765618610726
"389",4.79066692006529
"390",5.02703836546854
"391",5.05663986114016
"392",5.68437597744206
"393",4.92251250344287
"394",3.92191749442579
"395",5.27344114556465
"396",5.0253118603603
"397",5.75427662380606
"398",4.78376056938231
"399",4.96760200828375
"400",3.87466573051801
